name,short_name,college_type,state,city,address,nirf_rank,naac_grade,annual_fees_min,annual_fees_max,placement_percentage,avg_package_lpa,highest_package_lpa,hostel_available,boys_hostel,girls_hostel,affiliated_university,autonomous,official_website,branches,facilities,top_recruiters,description,total_seats
"JNTU College of Engineering Anantapur","JNTUA CEA",Government,"Andhra Pradesh",Anantapur,"Anantapur 515002",,,35000,45000,68.0,5.0,18.0,Yes,Yes,Yes,"JNTUA",No,https://jntua.ac.in,"Computer Science Engineering,Electronics and Communication Engineering,Mechanical Engineering,Electrical and Electronics Engineering,Civil Engineering","Library,Hostel (Boys),Hostel (Girls),Computer Lab,Wi-Fi Campus","TCS,Infosys,Wipro,Cognizant","Premier government engineering college under JNTUA.",960
"Sri Venkateswara University College of Engineering","SVU College",Government,"Andhra Pradesh",Tirupati,"Tirupati 517502",,A,28000,35000,65.0,4.8,16.0,Yes,Yes,Yes,"Sri Venkateswara University",No,https://www.svuniversity.edu.in,"Computer Science Engineering,Electronics and Communication Engineering,Mechanical Engineering,Civil Engineering,Chemical Engineering","Library,Hostel (Boys),Hostel (Girls),Computer Lab,Cafeteria / Canteen,Medical Center","TCS,Wipro,HCL,Infosys","Historic university engineering college with strong research focus.",720
"Andhra University College of Engineering","AU Engineering",Government,"Andhra Pradesh",Visakhapatnam,"Waltair Main Road, Visakhapatnam 530003",,A,18000,22000,68.0,5.0,18.0,Yes,Yes,Yes,"Andhra University",No,https://www.andhrauniversity.edu.in,"Computer Science Engineering,Electronics and Communication Engineering,Mechanical Engineering,Electrical and Electronics Engineering,Civil Engineering,Chemical Engineering","Library,Hostel (Boys),Hostel (Girls),Computer Lab,Sports Complex,Cafeteria / Canteen","TCS,Infosys,BHEL,VIZAG Steel,Naval Dockyard","Oldest engineering college in Andhra Pradesh established in 1955.",800
"GITAM School of Technology","GITAM GST",Deemed,"Andhra Pradesh",Visakhapatnam,"Rushikonda, Visakhapatnam 530045",,,155000,195000,82.0,7.5,32.0,Yes,Yes,Yes,Autonomous,Yes,https://www.gitam.edu,"Computer Science Engineering,Electronics and Communication Engineering,Mechanical Engineering,Civil Engineering,Information Technology,Artificial Intelligence and Machine Learning","Library,Hostel (Boys),Hostel (Girls),Sports Complex,Computer Lab,Research Center,Cafeteria / Canteen,Wi-Fi Campus,Medical Center,Auditorium","TCS,Infosys,Wipro,Cognizant,Capgemini,Amazon","Deemed university with strong industry partnerships and excellent campus.",3000
"Gayatri Vidya Parishad College of Engineering","GVP College",Private,"Andhra Pradesh",Visakhapatnam,"Madhurawada, Visakhapatnam 530048",,A+,85000,110000,78.0,6.8,28.0,Yes,Yes,Yes,"JNTUK",Yes,https://www.gvpce.ac.in,"Computer Science Engineering,Electronics and Communication Engineering,Mechanical Engineering,Electrical and Electronics Engineering,Civil Engineering,Information Technology","Library,Hostel (Boys),Hostel (Girls),Sports Complex,Computer Lab,Cafeteria / Canteen,Wi-Fi Campus","TCS,Infosys,Wipro,Capgemini,Amazon,Tech Mahindra","Autonomous college known for strong technical education and industry connections.",2400
"Vignan's Foundation for Science Technology & Research","Vignan's University",Deemed,"Andhra Pradesh",Guntur,"Vadlamudi, Guntur 522213",,A,105000,140000,75.0,6.2,25.0,Yes,Yes,Yes,Autonomous,Yes,https://www.vignan.ac.in,"Computer Science Engineering,Electronics and Communication Engineering,Mechanical Engineering,Civil Engineering,Information Technology,Artificial Intelligence and Machine Learning","Library,Hostel (Boys),Hostel (Girls),Sports Complex,Computer Lab,Cafeteria / Canteen,Wi-Fi Campus,Medical Center","TCS,Infosys,Wipro,HCL,Cognizant","Deemed university in Andhra Pradesh with research focus.",3500
"KL University","KL University",Deemed,"Andhra Pradesh","Vijayawada","Vaddeswaram, Guntur 522302",,A+,145000,180000,84.0,8.0,35.0,Yes,Yes,Yes,Autonomous,Yes,https://www.kluniversity.in,"Computer Science Engineering,Electronics and Communication Engineering,Mechanical Engineering,Civil Engineering,Information Technology,Artificial Intelligence and Machine Learning,Data Science","Library,Hostel (Boys),Hostel (Girls),Sports Complex,Computer Lab,Research Center,Cafeteria / Canteen,Wi-Fi Campus,Medical Center,Auditorium,Gymnasium","TCS,Infosys,Wipro,Amazon,Microsoft,Cognizant,Capgemini","Deemed university with strong focus on entrepreneurship and innovation.",6000
"Koneru Lakshmaiah Education Foundation (Hyderabad)","KL University Hyd",Deemed,Telangana,Hyderabad,"Aziz Nagar, Hyderabad 500075",,A+,145000,180000,83.0,7.8,33.0,Yes,Yes,Yes,Autonomous,Yes,https://www.kluniversity.in,"Computer Science Engineering,Electronics and Communication Engineering,Mechanical Engineering,Information Technology,Artificial Intelligence and Machine Learning","Library,Hostel (Boys),Hostel (Girls),Computer Lab,Cafeteria / Canteen,Wi-Fi Campus","TCS,Infosys,Wipro,Amazon,Tech Mahindra","KL University Hyderabad campus with excellent placement record.",2500
"Chaitanya Bharathi Institute of Technology","CBIT",Private,Telangana,Hyderabad,"Gandipet, Hyderabad 500075",,A+,80000,100000,76.0,6.5,26.0,Yes,Yes,Yes,"Osmania University",Yes,https://www.cbit.ac.in,"Computer Science Engineering,Electronics and Communication Engineering,Mechanical Engineering,Electrical and Electronics Engineering,Civil Engineering,Information Technology","Library,Hostel (Boys),Hostel (Girls),Computer Lab,Sports Complex,Cafeteria / Canteen,Wi-Fi Campus","TCS,Infosys,Wipro,IBM,Cognizant,HCL","Well-established autonomous college affiliated with Osmania University.",3200
"Vasavi College of Engineering","VCE Hyderabad",Private,Telangana,Hyderabad,"Ibrahim Bagh, Hyderabad 500031",,A+,78000,95000,74.0,6.2,24.0,Yes,Yes,Yes,"Osmania University",Yes,https://www.vasavicollege.ac.in,"Computer Science Engineering,Electronics and Communication Engineering,Mechanical Engineering,Electrical and Electronics Engineering,Civil Engineering","Library,Hostel (Boys),Hostel (Girls),Computer Lab,Cafeteria / Canteen,Wi-Fi Campus","TCS,Infosys,Wipro,Tech Mahindra,HCL","Autonomous college with consistent placement record in Hyderabad.",2400
