name,short_name,college_type,state,city,aicte_id,naac_grade,annual_fees_min,annual_fees_max,placement_percentage,avg_package_lpa,highest_package_lpa,hostel_available,boys_hostel,girls_hostel,affiliated_university,official_website,branches,facilities,top_recruiters,total_seats,establishment_year
"Punjab Engineering College","PEC Chandigarh",Government,Chandigarh,Chandigarh,"1-3760088584",A+,85000,110000,84.0,9.0,38.0,Yes,Yes,Yes,Autonomous,https://pec.ac.in,"Computer Science Engineering,Electronics and Communication Engineering,Mechanical Engineering,Civil Engineering,Electrical and Electronics Engineering,Aerospace Engineering","Library,Hostel (Boys),Hostel (Girls),Sports Complex,Computer Lab,Cafeteria / Canteen,Medical Center,Wi-Fi Campus","TCS,Infosys,Amazon,Microsoft,Wipro,Capgemini",1200,1921
"Jadavpur University Faculty of Engineering","Jadavpur Engineering",Government,"West Bengal",Kolkata,"1-3425678912",A++,18000,25000,80.0,8.5,38.0,Yes,Yes,Yes,"Jadavpur University",https://www.jaduniv.edu.in,"Computer Science Engineering,Electronics and Communication Engineering,Mechanical Engineering,Civil Engineering,Electrical and Electronics Engineering,Chemical Engineering,Information Technology","Library,Hostel (Boys),Hostel (Girls),Sports Complex,Computer Lab,Research Center,Cafeteria / Canteen","TCS,Amazon,Infosys,Wipro,IBM,HCL",2000,1955
"University Visvesvaraya College of Engineering","UVCE Bangalore",Government,Karnataka,Bengaluru,"1-4521789632",A,18000,22000,72.0,6.5,28.0,Yes,Yes,No,"Bangalore University",https://uvce.ac.in,"Computer Science Engineering,Electronics and Communication Engineering,Mechanical Engineering,Civil Engineering,Information Technology","Library,Hostel (Boys),Computer Lab,Cafeteria / Canteen","TCS,Infosys,Wipro,BHEL,L&T",960,1917
"Government College of Technology","GCT Coimbatore",Government,"Tamil Nadu",Coimbatore,"1-5634127890",A+,8500,12000,75.0,7.0,28.0,Yes,Yes,Yes,"Anna University",https://gct.ac.in,"Computer Science Engineering,Electronics and Communication Engineering,Mechanical Engineering,Civil Engineering,Textile Engineering,Production Engineering","Library,Hostel (Boys),Hostel (Girls),Sports Complex,Computer Lab,Cafeteria / Canteen","TCS,Infosys,Wipro,Zoho,HCL",1200,1945
"College of Engineering Pune","COEP",Government,Maharashtra,Pune,"1-2356789453",A++,85000,110000,86.0,9.8,40.0,Yes,Yes,Yes,Autonomous,https://www.coep.org.in,"Computer Science Engineering,Electronics and Communication Engineering,Mechanical Engineering,Civil Engineering,Metallurgical Engineering,Industrial Engineering","Library,Hostel (Boys),Hostel (Girls),Sports Complex,Computer Lab,Research Center,Cafeteria / Canteen,Medical Center,Wi-Fi Campus","TCS,Infosys,Amazon,Microsoft,Cummins,Kpit",2000,1854
"Institute of Chemical Technology","ICT Mumbai",Deemed,Maharashtra,Mumbai,"1-7864523190",A++,95000,130000,88.0,10.5,42.0,Yes,Yes,Yes,Autonomous,https://ictmumbai.edu.in,"Chemical Engineering,Biotechnology",Library,Hostel (Boys),Hostel (Girls),Research Center,Cafeteria / Canteen,"Reliance,Hindustan Unilever,BASF,Tata Chemicals",480,1933
"Netaji Subhas University of Technology","NSUT Delhi",Government,Delhi,Delhi,"1-6723456789",A+,90000,115000,85.0,9.5,42.0,Yes,Yes,Yes,Autonomous,https://www.nsut.ac.in,"Computer Science Engineering,Electronics and Communication Engineering,Mechanical Engineering,Information Technology,Biotechnology","Library,Hostel (Boys),Hostel (Girls),Sports Complex,Computer Lab,Cafeteria / Canteen,Wi-Fi Campus","TCS,Amazon,Microsoft,Infosys,Wipro,Samsung",3000,1983
"Sardar Vallabhbhai National Institute of Technology","SVNIT Surat",Government,Gujarat,Surat,"1-3890123456",A+,90000,115000,84.0,9.0,38.0,Yes,Yes,Yes,Autonomous,https://www.svnit.ac.in,"Computer Science Engineering,Electronics and Communication Engineering,Mechanical Engineering,Civil Engineering,Chemical Engineering","Library,Hostel (Boys),Hostel (Girls),Sports Complex,Computer Lab,Research Center,Cafeteria / Canteen,Medical Center,Wi-Fi Campus","TCS,Infosys,Wipro,L&T,ISRO,Amazon",1400,1961
"Government Engineering College Thrissur","GEC Thrissur",Government,Kerala,Thrissur,"1-4512367890",A,15000,20000,72.0,5.8,22.0,Yes,Yes,No,"APJ Abdul Kalam Technological University",https://gectcr.ac.in,"Computer Science Engineering,Electronics and Communication Engineering,Mechanical Engineering,Civil Engineering,Electrical and Electronics Engineering","Library,Hostel (Boys),Computer Lab,Cafeteria / Canteen","TCS,Infosys,Wipro,UST Global,Ernst & Young",600,1957
"Mepco Schlenk Engineering College","Mepco Schlenk",Private,"Tamil Nadu",Sivakasi,"1-5671234509",A+,75000,95000,82.0,7.8,32.0,Yes,Yes,Yes,"Anna University",https://mepcoeng.ac.in,"Computer Science Engineering,Electronics and Communication Engineering,Mechanical Engineering,Civil Engineering,Electrical and Electronics Engineering","Library,Hostel (Boys),Hostel (Girls),Sports Complex,Computer Lab,Cafeteria / Canteen,Wi-Fi Campus","TCS,Infosys,Wipro,Capgemini,HCL",2400,1984
