name,short_name,college_type,state,city,address,nirf_rank,nirf_score,nirf_year,naac_grade,annual_fees_min,annual_fees_max,placement_percentage,avg_package_lpa,highest_package_lpa,hostel_available,boys_hostel,girls_hostel,affiliated_university,autonomous,official_website,branches,facilities,top_recruiters,description,total_seats
"Indian Institute of Technology Bombay",IIT Bombay,Government,Maharashtra,Mumbai,"Powai, Mumbai 400076",1,89.72,2024,A++,250000,350000,95.5,18.5,150.0,Yes,Yes,Yes,Autonomous,Yes,https://www.iitb.ac.in,"Computer Science Engineering,Electronics and Communication Engineering,Mechanical Engineering,Electrical and Electronics Engineering,Civil Engineering,Aerospace Engineering,Chemical Engineering","Library,Hostel (Boys),Hostel (Girls),Sports Complex,Computer Lab,Research Center,Cafeteria / Canteen,Medical Center,Wi-Fi Campus,Auditorium,Gymnasium,Swimming Pool","Google,Microsoft,Amazon,Goldman Sachs,McKinsey,Intel,Qualcomm,Samsung","Premier engineering institute ranked #1 in India by NIRF. Known for cutting-edge research and excellent placements.",1000
"Indian Institute of Technology Delhi",IIT Delhi,Government,Delhi,Delhi,"Hauz Khas, New Delhi 110016",2,88.55,2024,A++,250000,350000,95.0,19.0,160.0,Yes,Yes,Yes,Autonomous,Yes,https://home.iitd.ac.in,"Computer Science Engineering,Electronics and Communication Engineering,Mechanical Engineering,Electrical and Electronics Engineering,Civil Engineering,Chemical Engineering,Biotechnology","Library,Hostel (Boys),Hostel (Girls),Sports Complex,Computer Lab,Research Center,Cafeteria / Canteen,Medical Center,Wi-Fi Campus,Auditorium,Gymnasium","Google,Microsoft,Amazon,Flipkart,Goldman Sachs,BCG,Tesla","Top-ranked IIT known for strong alumni network and excellent industry connections.",950
"Indian Institute of Technology Madras",IIT Madras,Government,Tamil Nadu,Chennai,"IIT PO, Chennai 600036",3,87.93,2024,A++,250000,350000,94.0,17.5,145.0,Yes,Yes,Yes,Autonomous,Yes,https://www.iitm.ac.in,"Computer Science Engineering,Electronics and Communication Engineering,Mechanical Engineering,Electrical and Electronics Engineering,Civil Engineering,Chemical Engineering,Aerospace Engineering","Library,Hostel (Boys),Hostel (Girls),Sports Complex,Computer Lab,Research Center,Cafeteria / Canteen,Medical Center,Wi-Fi Campus,Auditorium,Innovation Lab / Incubation","Qualcomm,Nvidia,Amazon,Microsoft,Samsung,ISRO,IBM","Leading technical university with strong research output and top-tier placements.",1100
"Indian Institute of Technology Kanpur",IIT Kanpur,Government,Uttar Pradesh,Kanpur,"NH-2, Kalyanpur, Kanpur 208016",4,85.28,2024,A++,250000,350000,92.5,16.8,120.0,Yes,Yes,Yes,Autonomous,Yes,https://www.iitk.ac.in,"Computer Science Engineering,Electronics and Communication Engineering,Mechanical Engineering,Electrical and Electronics Engineering,Chemical Engineering,Aerospace Engineering","Library,Hostel (Boys),Hostel (Girls),Sports Complex,Computer Lab,Research Center,Cafeteria / Canteen,Medical Center,Wi-Fi Campus","Google,Microsoft,Yahoo,Vedanta,Adobe,Oracle","Historic IIT with strong emphasis on fundamental research and innovation.",900
"Indian Institute of Technology Kharagpur",IIT Kharagpur,Government,West Bengal,Kharagpur,"Technology, Kharagpur 721302",5,84.96,2024,A++,250000,350000,91.0,15.5,118.0,Yes,Yes,Yes,Autonomous,Yes,https://www.iitkgp.ac.in,"Computer Science Engineering,Electronics and Communication Engineering,Mechanical Engineering,Electrical and Electronics Engineering,Civil Engineering,Chemical Engineering,Mining Engineering,Metallurgical Engineering","Library,Hostel (Boys),Hostel (Girls),Sports Complex,Computer Lab,Research Center,Cafeteria / Canteen,Medical Center,Wi-Fi Campus,Auditorium,Gymnasium,Swimming Pool","Amazon,Microsoft,Apple,Goldman Sachs,Samsung,Tata Steel","Oldest and largest IIT, sprawling campus with diverse academic programs.",2200
"National Institute of Technology Trichy","NIT Trichy",Government,Tamil Nadu,Tiruchirappalli,"Tanjore Main Rd, Tiruchirappalli 620015",8,76.52,2024,A+,95000,120000,88.0,10.5,45.0,Yes,Yes,Yes,Anna University,Yes,https://www.nitt.edu,"Computer Science Engineering,Electronics and Communication Engineering,Mechanical Engineering,Electrical and Electronics Engineering,Civil Engineering,Chemical Engineering,Production Engineering","Library,Hostel (Boys),Hostel (Girls),Sports Complex,Computer Lab,Cafeteria / Canteen,Medical Center,Wi-Fi Campus","TCS,Infosys,Wipro,Zoho,Amazon,Cognizant","Top-ranked NIT with strong placements and excellent faculty.",1300
"Birla Institute of Technology and Science Pilani","BITS Pilani",Deemed,Rajasthan,Pilani,"Vidya Vihar, Pilani 333031",26,63.82,2024,A,175000,250000,92.0,14.5,85.0,Yes,Yes,Yes,Autonomous,Yes,https://www.bits-pilani.ac.in,"Computer Science Engineering,Electronics and Communication Engineering,Mechanical Engineering,Electrical and Electronics Engineering,Chemical Engineering,Biotechnology","Library,Hostel (Boys),Hostel (Girls),Sports Complex,Computer Lab,Research Center,Cafeteria / Canteen,Medical Center,Wi-Fi Campus,Auditorium","Google,Microsoft,Qualcomm,Samsung,HSBC,Goldman Sachs","Deemed university with excellent placements and unique dual degree programs.",1700
"Vellore Institute of Technology","VIT Vellore",Deemed,Tamil Nadu,Vellore,"Tiruvalam Rd, Vellore 632014",11,72.32,2024,A+,180000,220000,85.0,8.5,38.0,Yes,Yes,Yes,Autonomous,Yes,https://vit.ac.in,"Computer Science Engineering,Electronics and Communication Engineering,Mechanical Engineering,Electrical and Electronics Engineering,Civil Engineering,Information Technology,Artificial Intelligence and Machine Learning","Library,Hostel (Boys),Hostel (Girls),Sports Complex,Computer Lab,Research Center,Cafeteria / Canteen,Medical Center,Wi-Fi Campus,Auditorium,Gymnasium,ATM","TCS,Infosys,Wipro,Capgemini,Cognizant,Amazon,Zoho","Large private deemed university with over 25,000 students and strong industry connections.",5000
"Manipal Academy of Higher Education","Manipal University",Deemed,Karnataka,Manipal,"Madhav Nagar, Manipal 576104",9,74.15,2024,A+,185000,230000,82.0,7.8,35.0,Yes,Yes,Yes,Autonomous,Yes,https://manipal.edu,"Computer Science Engineering,Electronics and Communication Engineering,Mechanical Engineering,Civil Engineering,Information Technology,Biotechnology","Library,Hostel (Boys),Hostel (Girls),Sports Complex,Computer Lab,Medical Center,Wi-Fi Campus,Cafeteria / Canteen","TCS,Infosys,Wipro,Accenture,IBM,HCL","Well-known deemed university with excellent infrastructure and international collaborations.",4500
"SRM Institute of Science and Technology","SRM IST",Private,Tamil Nadu,Chennai,"SRM Nagar, Kattankulathur 603203",39,55.42,2024,A+,175000,210000,80.0,7.5,32.0,Yes,Yes,Yes,Autonomous,Yes,https://www.srmist.edu.in,"Computer Science Engineering,Electronics and Communication Engineering,Mechanical Engineering,Civil Engineering,Information Technology,Artificial Intelligence and Machine Learning,Biotechnology","Library,Hostel (Boys),Hostel (Girls),Sports Complex,Computer Lab,Cafeteria / Canteen,Medical Center,Wi-Fi Campus,Auditorium","TCS,Infosys,Wipro,IBM,Cognizant,Capgemini","Large private university with 52,000+ students across multiple campuses.",7500
